feature,training_available_fraction,training_unique_values,selected,reason,fold
crossplane_log_peak_energy_ratio,1.0,81,True,SELECTED,MAR2025_CIR_HSS_INTERVAL
proton_density,1.0,14140,True,SELECTED,OCT2024_ICME_INTERVAL
proton_bulk_speed,1.0,13803,True,SELECTED,OCT2024_ICME_INTERVAL
proton_thermal,1.0,14135,True,SELECTED,OCT2024_ICME_INTERVAL
alpha_proton_ratio,0.7053249416590057,9973,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_gse,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
Bx_gse,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
By_gse,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
Bz_gse,1.0,14139,True,SELECTED,OCT2024_ICME_INTERVAL
d_proton_bulk_speed_dt,0.998373523796054,13950,True,SELECTED,OCT2024_ICME_INTERVAL
d_proton_density_dt,0.998373523796054,14118,True,SELECTED,OCT2024_ICME_INTERVAL
d_bmag_gse_dt,0.9994342691464536,14133,True,SELECTED,OCT2024_ICME_INTERVAL
proton_density_rolling_mean_5m,0.9979492256558942,14112,True,SELECTED,OCT2024_ICME_INTERVAL
proton_density_rolling_median_5m,0.9979492256558942,8770,True,SELECTED,OCT2024_ICME_INTERVAL
proton_density_rolling_variance_5m,0.9979492256558942,14112,True,SELECTED,OCT2024_ICME_INTERVAL
proton_density_rolling_mean_15m,0.9980906583692808,14114,True,SELECTED,OCT2024_ICME_INTERVAL
proton_density_rolling_median_15m,0.9980906583692808,7259,True,SELECTED,OCT2024_ICME_INTERVAL
proton_density_rolling_variance_15m,0.9980906583692808,14114,True,SELECTED,OCT2024_ICME_INTERVAL
proton_density_rolling_mean_60m,0.9929283643306697,14041,True,SELECTED,OCT2024_ICME_INTERVAL
proton_density_rolling_median_60m,0.9929283643306697,6847,True,SELECTED,OCT2024_ICME_INTERVAL
proton_density_rolling_variance_60m,0.9929283643306697,14041,True,SELECTED,OCT2024_ICME_INTERVAL
proton_bulk_speed_rolling_mean_5m,0.9979492256558942,14025,True,SELECTED,OCT2024_ICME_INTERVAL
proton_bulk_speed_rolling_median_5m,0.9979492256558942,8497,True,SELECTED,OCT2024_ICME_INTERVAL
proton_bulk_speed_rolling_variance_5m,0.9979492256558942,14014,True,SELECTED,OCT2024_ICME_INTERVAL
proton_bulk_speed_rolling_mean_15m,0.9980906583692808,14066,True,SELECTED,OCT2024_ICME_INTERVAL
proton_bulk_speed_rolling_median_15m,0.9980906583692808,7145,True,SELECTED,OCT2024_ICME_INTERVAL
proton_bulk_speed_rolling_variance_15m,0.9980906583692808,14064,True,SELECTED,OCT2024_ICME_INTERVAL
proton_bulk_speed_rolling_mean_60m,0.9929283643306697,13999,True,SELECTED,OCT2024_ICME_INTERVAL
proton_bulk_speed_rolling_median_60m,0.9929283643306697,7273,True,SELECTED,OCT2024_ICME_INTERVAL
proton_bulk_speed_rolling_variance_60m,0.9929283643306697,13994,True,SELECTED,OCT2024_ICME_INTERVAL
proton_thermal_rolling_mean_5m,0.9979492256558942,14112,True,SELECTED,OCT2024_ICME_INTERVAL
proton_thermal_rolling_median_5m,0.9979492256558942,8708,True,SELECTED,OCT2024_ICME_INTERVAL
proton_thermal_rolling_variance_5m,0.9979492256558942,14112,True,SELECTED,OCT2024_ICME_INTERVAL
proton_thermal_rolling_mean_15m,0.9980906583692808,14114,True,SELECTED,OCT2024_ICME_INTERVAL
proton_thermal_rolling_median_15m,0.9980906583692808,7148,True,SELECTED,OCT2024_ICME_INTERVAL
proton_thermal_rolling_variance_15m,0.9980906583692808,14114,True,SELECTED,OCT2024_ICME_INTERVAL
proton_thermal_rolling_mean_60m,0.9929283643306697,14041,True,SELECTED,OCT2024_ICME_INTERVAL
proton_thermal_rolling_median_60m,0.9929283643306697,7274,True,SELECTED,OCT2024_ICME_INTERVAL
proton_thermal_rolling_variance_60m,0.9929283643306697,14041,True,SELECTED,OCT2024_ICME_INTERVAL
alpha_proton_ratio_rolling_mean_5m,0.7194682129976664,9944,True,SELECTED,OCT2024_ICME_INTERVAL
alpha_proton_ratio_rolling_median_5m,0.7194682129976664,7045,True,SELECTED,OCT2024_ICME_INTERVAL
alpha_proton_ratio_rolling_variance_5m,0.7194682129976664,9944,True,SELECTED,OCT2024_ICME_INTERVAL
alpha_proton_ratio_rolling_mean_15m,0.8345237253376706,11103,True,SELECTED,OCT2024_ICME_INTERVAL
alpha_proton_ratio_rolling_median_15m,0.8345237253376706,6874,True,SELECTED,OCT2024_ICME_INTERVAL
alpha_proton_ratio_rolling_variance_15m,0.8345237253376706,11103,True,SELECTED,OCT2024_ICME_INTERVAL
alpha_proton_ratio_rolling_mean_60m,0.8807722226150909,11499,True,SELECTED,OCT2024_ICME_INTERVAL
alpha_proton_ratio_rolling_median_60m,0.8807722226150909,6169,True,SELECTED,OCT2024_ICME_INTERVAL
alpha_proton_ratio_rolling_variance_60m,0.8807722226150909,11499,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_gse_rolling_mean_5m,0.9985149565094407,14120,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_gse_rolling_median_5m,0.9985149565094407,8937,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_gse_rolling_variance_5m,0.9985149565094407,14120,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_gse_rolling_mean_15m,0.9975249275157344,14106,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_gse_rolling_median_15m,0.9975249275157344,7862,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_gse_rolling_variance_15m,0.9975249275157344,14106,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_gse_rolling_mean_60m,0.9929283643306697,14041,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_gse_rolling_median_60m,0.9929283643306697,7960,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_gse_rolling_variance_60m,0.9929283643306697,14041,True,SELECTED,OCT2024_ICME_INTERVAL
density_compression_ratio,0.9980906583692808,14113,True,SELECTED,OCT2024_ICME_INTERVAL
bmag_compression_ratio,0.9975249275157344,14106,True,SELECTED,OCT2024_ICME_INTERVAL
speed_compression_ratio,0.9980906583692808,13981,True,SELECTED,OCT2024_ICME_INTERVAL
dynamic_pressure_proxy,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
dynamic_pressure_compression_ratio,0.9980906583692808,14114,True,SELECTED,OCT2024_ICME_INTERVAL
joint_compression_index,0.9973834948023478,12317,True,SELECTED,OCT2024_ICME_INTERVAL
js_opdi,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
hellinger_opdi,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
wasserstein_opdi,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
d_js_opdi_dt,0.9995757018598401,14135,True,SELECTED,OCT2024_ICME_INTERVAL
d_hellinger_opdi_dt,0.9995757018598401,14135,True,SELECTED,OCT2024_ICME_INTERVAL
d_wasserstein_opdi_dt,0.9995757018598401,14135,True,SELECTED,OCT2024_ICME_INTERVAL
d_opdi_dt,0.9995757018598401,14135,True,SELECTED,OCT2024_ICME_INTERVAL
opdi_rolling_mean,0.9982320910826674,14116,True,SELECTED,OCT2024_ICME_INTERVAL
opdi_rolling_median,0.9982320910826674,6716,True,SELECTED,OCT2024_ICME_INTERVAL
opdi_rolling_variance,0.9982320910826674,14116,True,SELECTED,OCT2024_ICME_INTERVAL
opdi_anomaly,0.9946962732480022,14066,True,SELECTED,OCT2024_ICME_INTERVAL
opdi_persistence,1.0,27,True,SELECTED,OCT2024_ICME_INTERVAL
th1_th2_cosine_similarity,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
th1_th2_spectral_angle_rad,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
crossplane_centroid_delta_ev,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
crossplane_width_delta_ev,1.0,14141,True,SELECTED,OCT2024_ICME_INTERVAL
crossplane_log_peak_energy_ratio,1.0,77,True,SELECTED,OCT2024_ICME_INTERVAL
proton_density,1.0,16061,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_bulk_speed,1.0,15671,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_thermal,1.0,16055,True,SELECTED,SEP2024_QUIET_INTERVAL
alpha_proton_ratio,0.6789938986427593,10905,True,SELECTED,SEP2024_QUIET_INTERVAL
bmag_gse,1.0,16062,True,SELECTED,SEP2024_QUIET_INTERVAL
Bx_gse,1.0,16062,True,SELECTED,SEP2024_QUIET_INTERVAL
By_gse,1.0,16062,True,SELECTED,SEP2024_QUIET_INTERVAL
Bz_gse,1.0,16061,True,SELECTED,SEP2024_QUIET_INTERVAL
d_proton_bulk_speed_dt,0.9960154401693438,15807,True,SELECTED,SEP2024_QUIET_INTERVAL
d_proton_density_dt,0.9960154401693438,15998,True,SELECTED,SEP2024_QUIET_INTERVAL
d_bmag_gse_dt,0.9995019300211679,16054,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_density_rolling_mean_5m,0.9969493213796539,16013,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_density_rolling_median_5m,0.9969493213796539,9961,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_density_rolling_variance_5m,0.9969493213796539,16013,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_density_rolling_mean_15m,0.998194496326734,16033,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_density_rolling_median_15m,0.998194496326734,8244,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_density_rolling_variance_15m,0.998194496326734,16033,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_density_rolling_mean_60m,0.9937741252645996,15962,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_density_rolling_median_60m,0.9937741252645996,7816,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_density_rolling_variance_60m,0.9937741252645996,15962,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_bulk_speed_rolling_mean_5m,0.9969493213796539,15918,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_bulk_speed_rolling_median_5m,0.9969493213796539,9691,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_bulk_speed_rolling_variance_5m,0.9969493213796539,15902,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_bulk_speed_rolling_mean_15m,0.998194496326734,15977,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_bulk_speed_rolling_median_15m,0.998194496326734,8213,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_bulk_speed_rolling_variance_15m,0.998194496326734,15975,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_bulk_speed_rolling_mean_60m,0.9937741252645996,15920,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_bulk_speed_rolling_median_60m,0.9937741252645996,8324,True,SELECTED,SEP2024_QUIET_INTERVAL
proton_bulk_speed_rolling_variance_60m,0.9937741252645996,15915,True,SELECTED,SEP2024_QUIET_INTERVAL
